track_name,album_name,artist_names,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track
lose you to love me,Lose You To Love Me,selena gomez,2019-10-23,USUM71918727,1123,44.8,1222228366.0,109325,48327775,72,569150755,10176233,210846,55268559,519924812,832957854,174,220765,169,66,1080455,84,191725976,77455,959144,3669533,,0
worth it,Worth It,yk osiris,2019-02-08,USUM71821752,1125,44.8,340112388.0,66487,6617103,60,283340446,3313053,576099,18279931,132694197,41301726,28,11151,32,5,7457,2,171927306,162394,103378626,1660493,,0
fight the feeling,Fight The Feeling,rod wave,2023-03-31,USQX92301922,1128,44.8,86327319.0,18112,2247123,51,65828097,457580,179400,15991452,137960911,377095739,18,100880,1989,8,929184,10,34839558,18952,12848106,567245,,1
axel f,Best of Crazy Hits,crazy frog,2009-12-11,DEAF71578230,1134,44.7,178536020.0,870,142649,30,5049428366,20305999,,,,204191511,1,,,,,,,,,2967336,,0
robbery,Robbery,juice wrld,2019-02-13,USUG11900302,1131,44.7,1306374052.0,213493,32159591,73,606402216,5432558,287303,40611392,281781468,46631449,45,113,198,36,92676,7,63372791,172183,,1815403,,1
bebe dame,Bebe Dame - Single,fuerza regida,2022-12-16,QZ9QQ2200182,1132,44.7,562099076.0,51229,20388246,70,11080081,68671,623600,146379790,1746059702,,49,15119,36,18,2487813,17,98549626,29193,,2289240,,0
green green grass,george ezra songs to play when the sun's out,george ezra,2022-03-22,GBARL2200008,1133,44.7,300430813.0,50552,12812123,69,103550086,844925,1664351,248347598,3375488113,2854520083,51,182474,46,29,1067030,27,1947849,12347,2041978,2071865,,0
zihaal e miskin,Zihaal e Miskin,javed-mohsin,2023-05-25,INUM72300284,1135,44.7,110644306.0,4432,3741353,65,367432386,4091411,,,,85756632,,546,,,,4,776,12,,184497,,0
fiel,Los Legendarios 001,los legendarios,2021-02-04,QM4TW2136314,1130,44.7,642558596.0,106151,40485324,64,357508658,2089382,1884605,309769907,2853555921,56447780,77,45631,45,24,1535610,30,24779220,8899,,2242149,,0
neverita,Un Verano Sin Ti,bad bunny,2022-05-06,QM6MZ2214882,1139,44.6,831868563.0,93211,21780286,73,181498962,1237772,115200,87502749,985066343,21690461,36,30945,391,12,806258,5,23282331,5780,,1247731,,0
2002 - remix,2002 (Remix),shaun reynolds,2018-05-11,QZ22B1944940,1136,44.6,303962.0,88,6796,8,,,16501062,9430921,137616390,,,,,,,,,,,260,,0
infinity,Feel Something,jaymes young,2017-06-23,USAT21700859,1138,44.6,1059940209.0,169454,48961048,74,569314714,6558074,5441674,1889279204,22241102823,464030450,15,191784,556,46,991994,6,54462943,18444,,8764483,,0
popular (with playboi carti & madonna) - music from the hbo original series,The Highlights (Deluxe),the weeknd,2021-02-05,USUG12303876,1142,44.5,812954133.0,137681,53947304,81,66369681,851906,564129,71837599,797041217,504465645,147,78013,7,43,1369406,47,2985202,7888,8817729,6377668,,1
adore u,adore u,fred again..,2023-08-11,GBAHS2300908,1141,44.5,129427492.0,44672,48826452,71,10933079,80021,29740,8528307,135983684,82845102,69,43488,3,34,206415,46,801851,219,3403946,663446,,0
numb little bug,Numb Little Bug,em beihold,2022-01-28,USUM72200626,1143,44.5,360584207.0,68868,18801509,66,41254765,1015183,177123,69378146,667895022,8474222,34,350811,2116,19,22388,37,73893449,39102,,2132903,,0
feel it,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,2024-03-28,USUM72401132,1140,44.5,110377644.0,8980,78939536,,10803398,190363,,554400,4211900,21866966,41,6146,44,54,6402152,55,658798,745,,363083,,0
loco contigo (feat. j. balvin & tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",dj snake,2019-06-13,USUG11901580,1144,44.4,822696809.0,141261,26970098,68,587804570,5432716,806169,35719393,404031807,532691572,184,98937,124,117,1507919,27,131125635,26028,10568592,6782620,,0
faz um vuk vuk (teto espelhado),Faz um Vuk Vuk (Teto Espelhado),mc kevin o chris,2023-07-20,BX5EU2300034,1145,44.4,222879686.0,26854,23489333,68,183254308,938331,80100,22478680,315723211,23002967,16,1586,,31,3017351,19,2970,8,,130095,,1
suicidal,Melly vs. Melvin,ynw melly,2019-11-22,QMCE31902585,1146,44.4,572441305.0,113061,13801176,67,317626075,4533617,4475534,218106950,1659032393,7772461,20,2061,54,4,71838,4,25773932,131617,,2287665,,1
"photo (from ""luka chuppi"")","Photo (From ""Luka Chuppi"")",karan sehmbi,2019-02-12,INS181900313,1149,44.3,72849488.0,9804,2252266,54,329389939,2348757,11600000,10188221,246534268,93651376,13,646,,,,3,,,,215757,,0
sky,Whole Lotta Red,playboi carti,2020-12-25,USUM72024699,1147,44.3,710319373.0,209136,30701216,74,183959519,2671075,154135,62458934,363975031,280367116,31,1582,59,10,187089,14,2766036,16909,,1537393,,1
love on,Love On,selena gomez,2024-02-22,USUM72318034,1148,44.3,45878045.0,3731,26039293,,18082083,515908,,,,2436411201,50,69439,150,58,12329759,45,3662491,523,,350842,,0
payphone,Overexposed Track By Track,maroon 5,2012-01-01,USUM71203347,1153,44.2,1828026153.0,249663,71678167,78,1051247406,7080472,93015,49072987,397860038,1568063711,58,83578,135,112,258125,28,667632597,1019888,20102563,11327684,,1
brickell,MANIFESTING 20-05,feid,2024-04-10,USUG12402595,1150,44.2,59546208.0,5064,62237863,79,26823878,171145,,,,28104439,32,2379,13,15,3085319,14,1007570,344,16525,259017,,1
i like me better,I Like Me Better,lauv,2017-05-19,GBWWP1702907,1152,44.2,1784308411.0,157818,34910721,75,837720618,7077307,573681,117065490,886160801,145737544,92,225675,241,34,251654,24,334762962,97867,,7684583,,0
runaway,RUNAWAY,onerepublic,2023-05-26,USUM72304684,1154,44.2,127466467.0,16650,19684494,67,13668402,152488,2331,518049,9346042,179672192,57,259287,710,43,1138179,12,19337777,2084,,1350255,,0
que se cuide,Que Se Cuide,luis r conriquez,2024-05-03,QZNJV2414655,1151,44.2,36145614.0,1566,48637114,77,26390813,239853,,,,125856157,3,63,,2,1556280,,1069762,1047,,178962,,0
on my love,On My Love (Sped Up),zara larsson,2023-09-12,USSM12306769,1159,44.1,128024416.0,20826,60798732,7,14394570,139320,3966,507857,8090936,1176532287,73,129069,77,82,4576277,48,1333245,192,1668042,934544,,0
she share story,She Share Story,shayne orok,2020-06-02,QZHN52089091,1156,44.1,,2443,424979,33,238798,10479,10715800,2844924215,33201904006,,,1,,1,3316,,12694,,,,,0
mujeriego,Mujeriego - Single,ryan castro,2021-12-17,COSO12100328,1158,44.1,285723562.0,63343,16024245,63,316060497,3601489,1645802,630242190,6484877304,43034965,32,17619,715,28,11861287,24,2371513,4437,,3132192,,0
miss the rage (feat. playboi carti),Miss The Rage,trippie redd,2021-05-07,QZJ842000983,1160,44.1,535695469.0,188778,26774987,6,171889127,3367746,155446,113564973,1011224005,112767017,58,3186,9,15,112154,1,7839291,15078,,1525672,,1
tuta gold,TUTA GOLD,mahmood,2024-02-07,ITUM72400066,1157,44.1,95029509.0,5218,9118781,65,73263450,405639,,,,965737153,28,19714,,13,3804779,25,,,,279900,,0
my boy only breaks his favorite toys,THE TORTURED POETS DEPARTMENT,taylor swift,2024-04-18,USUG12401030,1161,44.0,161916445.0,3784,17036800,83,13509432,180327,,,,,32,1456,,7,176069,27,2674527,2560,,47529,,0
dandini dandini dastana,"Hey Dostum, ï¿½ï¿",derya yildirim,2023-02-10,DEE882214257,1165,44.0,12750.0,8,137,9,520926927,1601560,,,,,,7,,,,,,,,186,,0
florida!!! (feat. florence + the machine),THE TORTURED POETS DEPARTMENT,taylor swift,2024-04-18,USUG12401035,1162,44.0,140177107.0,3866,16996059,,13707215,189148,18200,6292326,45866138,,19,2111,,3,44338,41,1517277,2475,,68490,,1
legends,Legends,juice wrld,2018-06-22,USUG11801263,1166,44.0,681282854.0,118639,18809173,63,186468599,1849004,36108,21004398,157362351,1460530,16,70,,19,62644,2,51320211,87163,136120053,1025107,,1
black beatles,SremmLife 2 (Deluxe),rae sremmurd,2016-08-12,USUM71603293,1164,44.0,972005229.0,186174,27470180,69,1178473071,9750786,80426,32338631,184153973,189211405,160,37555,108,45,153694,47,372431461,173599,,12673047,,1
